Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:55:33:21.614,61,0.0000000000,0.0000000000,0.0703414753,0.0000000000,0.2360339463,0.1227092370,0.1858063936,0.0000000000,0.0000000000,0.0420913771,0.0000000000,0.2361514121,0.1227041259,0.1856943667,0.0232041776,0.0000000000,0.0075184335,0.0613858849,0.0714678988,0.0344465822,0.0523454994,0.0000000000,0.0253376793,0.0000000000,0.0033294447,0.0233210716,0.0000000000,0.0165394656,0.0177036058,0.0690038651,0.0753679201,0.0403548740,0.0365275256,0.0453745648,0.0221711192,0.0167717189,0.0176359229,0.0407807194,0.0394354798,0.0052703535,0.0060524782,0.0181067716,0.0181231964,0.0479939729,0.0000000000,0.0000000000,0.0147460885,0.0437773615,0.0486126728,0.0270311441,0.0323064327,0.0000000033,-0.1127551123,-0.0707803592,-1.6114852428,-0.0255757589,-0.1030743271,0.0026452851,0.0427413471,-0.1030837074,-0.0044202348
11:55:33:22.615,61,0.0000000000,0.0000000000,0.0872892216,0.0000000000,0.2273414433,0.1175506860,0.1826892495,0.0000000000,0.0000000000,0.0253286697,0.0000000000,0.2276141346,0.1175476909,0.1825603396,0.0226211082,0.0000000000,0.0066688294,0.0575081594,0.0671031773,0.0337798446,0.0513604358,0.0000000000,0.0246631876,0.0000000000,0.0028844061,0.0235902276,0.0000000000,0.0160859972,0.0172182601,0.0679049343,0.0732860863,0.0380371846,0.0349593535,0.0449705422,0.0220478047,0.0164580829,0.0173046328,0.0388112664,0.0375252105,0.0051910141,0.0059467973,0.0153815160,0.0153943961,0.0473697595,0.0000000000,0.0000000000,0.0143817561,0.0421996862,0.0469651744,0.0266943071,0.0318452120,0.0000000023,-0.1119558662,-0.0595332198,-1.6151773930,-0.0153961545,-0.0993272066,0.0015342443,0.0530595779,-0.0993366763,-0.0052856375
11:55:33:23.617,61,0.0000000000,0.0000000000,0.0955260321,0.0000000000,0.2172054350,0.1141341701,0.1812607348,0.0000000000,0.0000000000,0.0172398910,0.0000000000,0.2175396532,0.1141324341,0.1811239868,0.0221348070,0.0000000000,0.0059759701,0.0560307354,0.0655360371,0.0332694314,0.0508374535,0.0000000000,0.0240478255,0.0000000000,0.0021359061,0.0241550673,0.0000000000,0.0156692006,0.0167733487,0.0671306178,0.0722252205,0.0369143449,0.0339994729,0.0446914211,0.0219753534,0.0161788911,0.0170122702,0.0377902724,0.0365312733,0.0051290086,0.0058620595,0.0137462905,0.0137604792,0.0468229726,0.0000000000,0.0000000000,0.0140864421,0.0412400998,0.0459853560,0.0264134575,0.0314521715,0.0000000006,-0.1119558662,-0.0595332198,-1.6151773930,-0.0104838433,-0.0949248001,0.0009981580,0.0580913648,-0.0949343592,-0.0055283271
11:55:33:24.619,61,0.0000000000,0.0000000000,0.0985927656,0.0000000000,0.2094270736,0.1114440784,0.1803852171,0.0000000000,0.0000000000,0.0144348228,0.0000000000,0.2097751945,0.1114429682,0.1802423000,0.0217596646,0.0000000000,0.0052923136,0.0552011244,0.0646110848,0.0327496454,0.0505972132,0.0000000000,0.0234726723,0.0000000000,0.0000000000,0.0337071568,0.0052097272,0.0152588040,0.0163352471,0.0663781092,0.0713038296,0.0361858457,0.0332937725,0.0444882810,0.0219233464,0.0159052573,0.0167244077,0.0369093195,0.0356791988,0.0050545339,0.0057656569,0.0123600913,0.0123738479,0.0463022068,0.0000000000,0.0000000000,0.0138489055,0.0404008701,0.0451198742,0.0261335094,0.0310644172,0.0000000002,-0.1113585830,-0.0547333248,-1.6170657873,-0.0087808184,-0.0915352255,0.0008059961,0.0599753149,-0.0915448517,-0.0055024652
11:55:33:25.620,61,0.0000000000,0.0000000000,0.1068967804,0.0000000000,0.1870744973,0.1091371104,0.1794557869,0.0000000000,0.0000000000,0.0066969511,0.0000000000,0.1874482185,0.1091358289,0.1792983413,0.0215217602,0.0000000000,0.0049217907,0.0550163984,0.0643955767,0.0325306505,0.0509439148,0.0000000000,0.0230345000,0.0000000000,0.0000000000,0.0445999838,0.0179907922,0.0148928259,0.0159424376,0.0657956526,0.0707083121,0.0357539095,0.0328023322,0.0444680788,0.0219278652,0.0156839844,0.0164889023,0.0362326093,0.0350403674,0.0049978527,0.0056903427,0.0115859611,0.0116001666,0.0459155217,0.0000000000,0.0000000000,0.0137070771,0.0397639163,0.0444528684,0.0259678680,0.0308050867,0.0000000003,-0.1122509316,-0.0511804298,-1.6178634167,-0.0040772595,-0.0817903951,0.0003342253,0.0650818050,-0.0818002000,-0.0053317952
11:55:33:26.622,61,0.0000000000,0.0000000000,0.1062887833,0.0000000000,0.1754544824,0.1053414643,0.1746972948,0.0000000000,0.0000000000,0.0074461466,0.0000000000,0.1757990569,0.1053395197,0.1745204628,0.0213228166,0.0000000000,0.0047037518,0.0552012734,0.0646362603,0.0325035490,0.0522301756,0.0000000000,0.0226122141,0.0000000000,0.0000000000,0.0503031462,0.0258454010,0.0145508628,0.0155792302,0.0652836412,0.0702740029,0.0354881622,0.0323642306,0.0446447581,0.0220209341,0.0154624265,0.0162501168,0.0357465111,0.0345874839,0.0049798316,0.0056579751,0.0107672242,0.0107811503,0.0457170978,0.0000000000,0.0000000000,0.0135673089,0.0392111689,0.0438591540,0.0258656070,0.0306188818,0.0000000004,-0.1143453419,-0.0489035584,-1.6183451414,-0.0045352173,-0.0767076090,0.0003485684,0.0647376850,-0.0767174810,-0.0049727624
11:55:33:27.623,61,0.0000000000,0.0000000000,0.1084749848,0.0000000000,0.1776183248,0.1037464067,0.1679196507,0.0000000000,0.0000000000,0.0052665537,0.0000000000,0.1779838800,0.1037437022,0.1677259505,0.0212196056,0.0000000000,0.0047476776,0.0555382892,0.0650809407,0.0325096808,0.0528195053,0.0000000000,0.0222236998,0.0000000000,0.0000000000,0.0546837300,0.0311693996,0.0142473914,0.0152557157,0.0650014207,0.0701207891,0.0353680402,0.0320241041,0.0447556153,0.0220862459,0.0152456528,0.0160158332,0.0354894884,0.0343644544,0.0049781548,0.0056455899,0.0102615915,0.0102755968,0.0455467850,0.0000000000,0.0000000000,0.0134084951,0.0387878716,0.0433762968,0.0258207154,0.0305019245,0.0000000005,-0.1180670038,-0.0463551506,-1.6194055080,-0.0032074582,-0.0776605085,0.0002495944,0.0660644099,-0.0776704028,-0.0051378072
11:55:33:28.625,61,0.0000000000,0.0000000000,0.1082661748,0.0000000000,0.1811580658,0.1030980274,0.1578324437,0.0000000000,0.0000000000,0.0055327979,0.0000000000,0.1815297008,0.1030937359,0.1576092243,0.0212285034,0.0000000000,0.0049788277,0.0564632453,0.0666704848,0.0325472988,0.0533646941,0.0000000000,0.0219716579,0.0000000000,0.0000000000,0.0597730093,0.0361838341,0.0139878849,0.0149790477,0.0649939552,0.0702992082,0.0354677029,0.0318148136,0.0449040905,0.0221503656,0.0150393788,0.0157925636,0.0353611484,0.0342773534,0.0049764114,0.0056352271,0.0100103542,0.0100247245,0.0454561375,0.0000000000,0.0000000000,0.0132398000,0.0384804495,0.0430013388,0.0258055776,0.0304288883,0.0000000005,-0.1189805642,-0.0452402458,-1.6202815771,-0.0033691975,-0.0792077109,0.0002674254,0.0659292340,-0.0792175829,-0.0052298685
11:55:33:29.627,61,0.0000000000,0.0000000000,0.1098484024,0.0000000000,0.1825298965,0.1029169708,0.1485229433,0.0000000000,0.0000000000,0.0039885724,0.0000000000,0.1829167455,0.1029108986,0.1482248604,0.0213044286,0.0000000000,0.0053757769,0.0579348169,0.0686146095,0.0326813497,0.0540129095,0.0000000000,0.0218428615,0.0000000000,0.0000000000,0.0698381662,0.0447933264,0.0137530938,0.0147241019,0.0650650710,0.0705795735,0.0356929936,0.0317241661,0.0450719111,0.0222000666,0.0148612661,0.0155989947,0.0352571011,0.0342179649,0.0049641649,0.0056173247,0.0098376740,0.0098544229,0.0454546772,0.0000000000,0.0000000000,0.0131254997,0.0382480398,0.0427071229,0.0258261506,0.0304051936,0.0000000005,-0.1184748486,-0.0435617529,-1.6222585440,-0.0024287244,-0.0798127279,0.0001942556,0.0668895319,-0.0798225775,-0.0053466246
11:55:33:30.628,61,0.0000000000,0.0000000000,0.1123953238,0.0000000000,0.1843455881,0.1026631668,0.1452867538,0.0000000000,0.0000000000,0.0014401459,0.0000000000,0.1847563982,0.1026551202,0.1449583173,0.0213529002,0.0000000000,0.0059696850,0.0587216951,0.0695511252,0.0327585451,0.0545376465,0.0000000000,0.0217916314,0.0000000000,0.0000000000,0.0733757615,0.0486342534,0.0135290995,0.0144797824,0.0650893301,0.0708640888,0.0358751528,0.0315903835,0.0452650636,0.0222766250,0.0146924043,0.0154155269,0.0350610279,0.0340670981,0.0049467240,0.0055949898,0.0092551848,0.0092736231,0.0455077365,0.0000000000,0.0000000000,0.0130225653,0.0380188636,0.0424124673,0.0258353353,0.0303848498,0.0000000005,-0.1187545583,-0.0417996459,-1.6239178181,-0.0008768781,-0.0806152076,0.0000708432,0.0684360564,-0.0806250647,-0.0055252775
